15	10	E	-9223384.010276219	163
transitionprobs	14	4	4.068796473227957E-5
transitionprobs	14	5	0.0014740601274838493
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0029556572258062058
transitionprobs	14	8	0.3061371859853782
transitionprobs	14	9	4.773222802312632E-4
transitionprobs	14	10	0.09929565204194067
transitionprobs	14	11	0.0
transitionprobs	14	12	4.809460116512963E-5
transitionprobs	14	13	0.0033632254785577287
transitionprobs	14	14	0.5303244129673802
transitionprobs	14	15	0.0027056887511483986
transitionprobs	15	1	0.09076368715173926
transitionprobs	15	2	0.15990548084938627
transitionprobs	15	3	0.010577760378590349
transitionprobs	15	4	0.0012376009168389279
transitionprobs	15	5	0.0020166365518322006
transitionprobs	15	6	0.0010491469319069422
transitionprobs	15	7	7.936761977991543E-4
transitionprobs	15	8	0.012049728750005996
transitionprobs	15	9	0.0
transitionprobs	15	10	0.015930353861133152
transitionprobs	15	11	0.13899018949224426
transitionprobs	15	12	0.005821807056682011
transitionprobs	15	13	0.0035559940297766436
transitionprobs	15	14	0.003393398422941227
transitionprobs	15	15	0.5539145394091236
emissionprobs	1	0	H3K27ac	0	0.9999136770563302
emissionprobs	1	0	H3K27ac	1	8.632294366991782E-5
emissionprobs	1	1	H3K27me3	0	0.6058198953282876
emissionprobs	1	1	H3K27me3	1	0.39418010467171244
emissionprobs	1	2	H3K36me3	0	0.9996326459712703
emissionprobs	1	2	H3K36me3	1	3.6735402872965594E-4
emissionprobs	1	3	H3K4me1	0	0.9977807012838237
emissionprobs	1	3	H3K4me1	1	0.002219298716176258
emissionprobs	1	4	H3K4me2	0	0.9990138908744016
emissionprobs	1	4	H3K4me2	1	9.86109125598409E-4
emissionprobs	1	5	H3K4me3	0	0.9999856247024842
emissionprobs	1	5	H3K4me3	1	1.4375297515766037E-5
emissionprobs	1	6	H3K79me2	0	0.9999249855192236
emissionprobs	1	6	H3K79me2	1	7.501448077645383E-5
emissionprobs	1	7	H3K9ac	0	0.9999746821486197
emissionprobs	1	7	H3K9ac	1	2.531785138022817E-5
emissionprobs	1	8	H3K9me3	0	0.9856212859208114
emissionprobs	1	8	H3K9me3	1	0.014378714079188648
emissionprobs	1	9	H4K20me1	0	0.9926196793184565
emissionprobs	1	9	H4K20me1	1	0.007380320681543505
emissionprobs	2	0	H3K27ac	0	0.9998869125508626
emissionprobs	2	0	H3K27ac	1	1.1308744913732398E-4
emissionprobs	2	1	H3K27me3	0	0.9950668635819744
emissionprobs	2	1	H3K27me3	1	0.004933136418025548
emissionprobs	2	2	H3K36me3	0	0.9990306118314882
emissionprobs	2	2	H3K36me3	1	9.693881685117364E-4
emissionprobs	2	3	H3K4me1	0	0.998630775424143
emissionprobs	2	3	H3K4me1	1	0.0013692245758570234
emissionprobs	2	4	H3K4me2	0	0.9996493576486911
emissionprobs	2	4	H3K4me2	1	3.506423513089685E-4
emissionprobs	2	5	H3K4me3	0	0.9999678257902299
emissionprobs	2	5	H3K4me3	1	3.217420977016989E-5
emissionprobs	2	6	H3K79me2	0	0.9998086100074608
emissionprobs	2	6	H3K79me2	1	1.9138999253910395E-4
emissionprobs	2	7	H3K9ac	0	0.9999523335254258
emissionprobs	2	7	H3K9ac	1	4.766647457421026E-5
emissionprobs	2	8	H3K9me3	0	0.9947781149263942
emissionprobs	2	8	H3K9me3	1	0.005221885073605853
emissionprobs	2	9	H4K20me1	0	0.9984333475758413
emissionprobs	2	9	H4K20me1	1	0.001566652424158608
emissionprobs	3	0	H3K27ac	0	0.9999244331238619
emissionprobs	3	0	H3K27ac	1	7.556687613808133E-5
emissionprobs	3	1	H3K27me3	0	0.9943816910613903
emissionprobs	3	1	H3K27me3	1	0.005618308938609674
emissionprobs	3	2	H3K36me3	0	0.9921035268243471
emissionprobs	3	2	H3K36me3	1	0.007896473175652854
emissionprobs	3	3	H3K4me1	0	0.9990478418079437
emissionprobs	3	3	H3K4me1	1	9.521581920563101E-4
emissionprobs	3	4	H3K4me2	0	0.9997803759400882
emissionprobs	3	4	H3K4me2	1	2.196240599119072E-4
emissionprobs	3	5	H3K4me3	0	0.9997762104014164
emissionprobs	3	5	H3K4me3	1	2.2378959858357643E-4
emissionprobs	3	6	H3K79me2	0	0.9997694211307819
emissionprobs	3	6	H3K79me2	1	2.3057886921812345E-4
emissionprobs	3	7	H3K9ac	0	0.9999540343065026
emissionprobs	3	7	H3K9ac	1	4.596569349733649E-5
emissionprobs	3	8	H3K9me3	0	0.6974934039242171
emissionprobs	3	8	H3K9me3	1	0.3025065960757829
emissionprobs	3	9	H4K20me1	0	0.997954463422499
emissionprobs	3	9	H4K20me1	1	0.002045536577500834
emissionprobs	4	0	H3K27ac	0	0.9975676684867291
emissionprobs	4	0	H3K27ac	1	0.002432331513271007
emissionprobs	4	1	H3K27me3	0	0.9989493695347559
emissionprobs	4	1	H3K27me3	1	0.0010506304652441374
emissionprobs	4	2	H3K36me3	0	0.36645413016709233
emissionprobs	4	2	H3K36me3	1	0.6335458698329076
emissionprobs	4	3	H3K4me1	0	0.9745081612686679
emissionprobs	4	3	H3K4me1	1	0.025491838731332046
emissionprobs	4	4	H3K4me2	0	0.996869362809976
emissionprobs	4	4	H3K4me2	1	0.0031306371900240966
emissionprobs	4	5	H3K4me3	0	0.9803871421943917
emissionprobs	4	5	H3K4me3	1	0.019612857805608407
emissionprobs	4	6	H3K79me2	0	0.7776833516162058
emissionprobs	4	6	H3K79me2	1	0.22231664838379414
emissionprobs	4	7	H3K9ac	0	0.9953123559041238
emissionprobs	4	7	H3K9ac	1	0.004687644095876077
emissionprobs	4	8	H3K9me3	0	0.21633102632170745
emissionprobs	4	8	H3K9me3	1	0.7836689736782925
emissionprobs	4	9	H4K20me1	0	0.9554489786827426
emissionprobs	4	9	H4K20me1	1	0.044551021317257355
